time(ms)	pitch_reference	pitch_prediction	deviation
0.0	0.0	0.0	0.0
0.006	0.0	0.0	0.0
0.012	0.0	0.0	0.0
0.017	0.0	0.0	0.0
0.023	0.0	0.0	0.0
0.028999999999999998	0.0	0.0	0.0
0.035	0.0	0.0	0.0
0.040999999999999995	0.0	0.0	0.0
0.046	0.0	0.0	0.0
0.052000000000000005	0.0	0.0	0.0
0.057999999999999996	0.0	0.0	0.0
0.064	0.0	0.0	0.0
0.07	0.0	0.0	0.0
0.075	0.0	0.0	0.0
0.081	0.0	0.0	0.0
0.087	0.0	0.0	0.0
0.09300000000000001	0.0	0.0	0.0
0.099	0.0	0.0	0.0
0.10400000000000001	0.0	0.0	0.0
0.11	0.0	0.0	0.0
0.11599999999999999	0.0	0.0	0.0
0.122	0.0	211.28370666503906	211.28370666503906
0.128	0.0	193.7479248046875	193.7479248046875
0.134	0.0	199.42520141601562	199.42520141601562
0.139	0.0	212.50767517089844	212.50767517089844
0.145	0.0	213.7387237548828	213.7387237548828
0.151	0.0	211.28370666503906	211.28370666503906
0.157	0.0	205.2688446044922	205.2688446044922
0.163	0.0	214.97691345214844	214.97691345214844
0.168	0.0	220.0017852783203	220.0017852783203
0.174	0.0	210.06680297851562	210.06680297851562
0.18	0.0	211.28370666503906	211.28370666503906
0.18600000000000003	0.0	214.97691345214844	214.97691345214844
0.192	0.0	208.8568878173828	208.8568878173828
0.19699999999999998	0.0	216.22227478027344	216.22227478027344
0.203	0.0	221.27626037597656	221.27626037597656
0.209	0.0	220.0017852783203	220.0017852783203
0.215	0.0	222.55809020996094	222.55809020996094
0.221	0.0	207.65396118164062	207.65396118164062
0.226	0.0	191.52252197265625	191.52252197265625
0.23199999999999998	0.0	191.52252197265625	191.52252197265625
0.23800000000000002	0.0	190.41943359375	190.41943359375
0.244	0.0	189.32269287109375	189.32269287109375
0.25	0.0	189.32269287109375	189.32269287109375
0.255	0.0	190.41943359375	190.41943359375
0.261	0.0	201.742431640625	201.742431640625
0.267	0.0	200.58045959472656	200.58045959472656
0.273	0.0	198.27658081054688	198.27658081054688
0.27899999999999997	0.0	186.07022094726562	186.07022094726562
0.284	0.0	192.6320037841797	192.6320037841797
0.29	0.0	0.0	0.0
0.29600000000000004	0.0	0.0	0.0
0.302	0.0	0.0	0.0
0.308	0.0	0.0	0.0
0.313	0.0	0.0	0.0
0.319	0.0	0.0	0.0
0.325	0.0	0.0	0.0
0.331	0.0	0.0	0.0
0.337	0.0	0.0	0.0
0.342	0.0	0.0	0.0
0.348	0.0	0.0	0.0
0.354	0.0	0.0	0.0
0.36	0.0	0.0	0.0
0.366	0.0	372.1419372558594	372.1419372558594
0.37200000000000005	0.0	357.39495849609375	357.39495849609375
0.377	0.0	343.2323913574219	343.2323913574219
0.38299999999999995	0.0	359.4653625488281	359.4653625488281
0.389	103.09899999999999	361.5477294921875	258.4487294921875
0.395	102.945	343.2323913574219	240.28739135742188
0.401	102.96600000000001	359.4653625488281	256.4993625488281
0.406	103.52600000000001	339.2900085449219	235.76400854492186
0.41200000000000003	104.087	345.220703125	241.133703125
0.418	105.182	351.2550964355469	246.07309643554686
0.424	107.07	339.2900085449219	232.22000854492188
0.43	108.958	353.2899475097656	244.33194750976563
0.435	110.846	363.64215087890625	252.79615087890625
0.441	113.86200000000001	365.74871826171875	251.88671826171873
0.447	116.31299999999999	351.2550964355469	234.9420964355469
0.45299999999999996	118.765	376.4660339355469	257.7010339355469
0.45899999999999996	120.005	187.1481170654297	67.14311706542969
0.46399999999999997	121.244	191.52252197265625	70.27852197265625
0.47	122.126	184.99851989746094	62.87251989746093
0.47600000000000003	122.84899999999999	179.73194885253906	56.88294885253907
0.48200000000000004	123.105	174.6153106689453	51.51031066894531
0.488	123.36	161.9833984375	38.6233984375
0.493	123.616	171.61549377441406	47.99949377441406
0.499	123.87200000000001	168.66722106933594	44.79522106933592
0.505	122.88600000000001	175.62684631347656	52.74084631347655
0.511	124.117	161.05043029785156	36.93343029785156
0.517	124.766	172.60964965820312	47.84364965820312
0.522	125.56	496.750732421875	371.190732421875
0.528	126.354	511.3067321777344	384.9527321777344
0.534	127.148	526.2892456054688	399.1412456054687
0.54	127.94200000000001	529.3380126953125	401.3960126953125
0.546	128.736	520.2442626953125	391.5082626953125
0.551	129.53	514.2687377929688	384.7387377929688
0.557	130.065	535.4887084960938	405.42370849609375
0.563	130.124	529.3380126953125	399.2140126953125
0.569	130.174	526.2892456054688	396.1152456054688
0.575	130.224	523.258056640625	393.034056640625
0.58	130.156	529.3380126953125	399.1820126953125
0.586	130.18200000000002	520.2442626953125	390.0622626953125
0.5920000000000001	130.208	541.7108154296875	411.50281542968753
0.598	130.234	529.3380126953125	399.10401269531246
0.604	131.434	523.258056640625	391.82405664062503
0.61	130.82299999999998	514.2687377929688	383.44573779296877
0.615	130.83	538.5906982421875	407.76069824218746
0.621	130.836	526.2892456054688	395.45324560546874
0.627	130.71	520.2442626953125	389.53426269531246
0.633	130.368	508.36181640625	377.99381640625
0.639	130.173	529.3380126953125	399.1650126953125
0.644	129.97899999999998	535.4887084960938	405.50970849609377
0.65	129.60399999999998	511.3067321777344	381.7027321777344
0.6559999999999999	129.338	502.5227355957031	373.18473559570316
0.662	129.072	526.2892456054688	397.21724560546875
0.6679999999999999	128.806	532.4044799804688	403.5984799804687
0.6729999999999999	128.517	499.62841796875	371.11141796875
0.679	128.131	485.4048767089844	357.2738767089844
0.685	127.611	460.81512451171875	333.20412451171876
0.691	126.98700000000001	502.5227355957031	375.5357355957031
0.6970000000000001	126.415	523.258056640625	396.843056640625
0.7020000000000001	125.899	488.216796875	362.317796875
0.708	125.557	491.0450744628906	365.4880744628906
0.7140000000000001	125.462	502.5227355957031	377.06073559570314
0.72	126.49600000000001	511.3067321777344	384.8107321777344
0.726	127.163	502.5227355957031	375.3597355957031
0.731	126.74700000000001	0.0	126.74700000000001
0.737	128.064	0.0	128.064
0.743	127.82700000000001	0.0	127.82700000000001
0.7490000000000001	128.85	0.0	128.85
0.755	128.75	0.0	128.75
0.76	129.049	0.0	129.049
0.7659999999999999	129.244	0.0	129.244
0.772	129.368	0.0	129.368
0.778	129.49200000000002	0.0	129.49200000000002
0.784	129.459	0.0	129.459
0.789	129.512	0.0	129.512
0.795	129.49	0.0	129.49
0.8009999999999999	129.469	0.0	129.469
0.807	128.914	0.0	128.914
0.813	127.34	0.0	127.34
0.8190000000000001	126.275	0.0	126.275
0.8240000000000001	125.21	0.0	125.21
0.83	125.387	0.0	125.387
0.836	124.345	0.0	124.345
0.8420000000000001	123.66799999999999	0.0	123.66799999999999
0.848	122.991	0.0	122.991
0.853	121.999	0.0	121.999
0.8590000000000001	119.95200000000001	0.0	119.95200000000001
0.865	118.43299999999999	0.0	118.43299999999999
0.871	118.98299999999999	0.0	118.98299999999999
0.877	118.596	0.0	118.596
0.882	118.663	0.0	118.663
0.888	116.36399999999999	0.0	116.36399999999999
0.894	113.014	0.0	113.014
0.9	113.49600000000001	0.0	113.49600000000001
0.9059999999999999	112.529	0.0	112.529
0.9109999999999999	112.965	0.0	112.965
0.917	113.735	0.0	113.735
0.9229999999999999	115.219	0.0	115.219
0.929	117.554	0.0	117.554
0.935	121.913	0.0	121.913
0.94	127.765	0.0	127.765
0.946	135.528	0.0	135.528
0.9520000000000001	142.335	0.0	142.335
0.958	148.08700000000002	0.0	148.08700000000002
0.9640000000000001	154.366	0.0	154.366
0.9690000000000001	157.174	0.0	157.174
0.975	160.1	0.0	160.1
0.981	164.581	331.5405578613281	166.95955786132814
0.987	166.602	341.2555236816406	174.65352368164062
0.993	168.623	345.220703125	176.597703125
0.998	170.644	347.2205810546875	176.5765810546875
1.004	172.106	347.2205810546875	175.1145810546875
1.01	173.18400000000003	349.2320251464844	176.04802514648435
1.016	174.453	349.2320251464844	174.77902514648437
1.022	175.03400000000002	351.2550964355469	176.22109643554685
1.0270000000000001	175.959	353.2899475097656	177.33094750976562
1.033	176.16	353.2899475097656	177.12994750976563
1.0390000000000001	176.361	351.2550964355469	174.89409643554689
1.045	176.32299999999998	353.2899475097656	176.96694750976565
1.051	176.115	349.2320251464844	173.11702514648437
1.057	175.75599999999997	349.2320251464844	173.4760251464844
